id,title,field_model,field_resource_type,field_display_hints,field_member_of,field_edtf_date_created,field_subject,field_rights,field_description_long,file,field_related_item_boolean,field_related_item_type,field_related_item_title,field_identifier,field_linked_agent
1,Bridge 238,Image,Still Image,Open Seadragon,2083,7/14/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Detail of construction of bridge over Perkiomen Creek near the Minnehaha Chopping Mills (also Markley's Mills) Montgomery County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_239.jpg,1,host,MS 80 Nelson F. Davis Collection,3955769,relators:pht:472^|.|^relators:pbl:471
2,Finland Covered Bridge,Image,Still Image,Open Seadragon,2083,7/14/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior of Finland Covered Bridge over Swamp Creek on the road from Finland to Ridge Valley Church, Bucks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_240.jpg,1,host,MS 80 Nelson F. Davis Collection,3955770,relators:pht:472^|.|^relators:pbl:471
3,Finland Covered Bridge,Image,Still Image,Open Seadragon,2083,7/14/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Finland Covered Bridge over Swamp Creek on road from Finland to Ridge Valley Church, Bucks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_241.jpg,1,host,MS 80 Nelson F. Davis Collection,3955771,relators:pht:472^|.|^relators:pbl:471
4,Bridge over Tohickon Creek ,Image,Still Image,Open Seadragon,2083,7/14/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior of bridge over Tohickon Creek near Weisel's Store, Bucks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_242.jpg,1,host,MS 80 Nelson F. Davis Collection,3955772,relators:pht:472^|.|^relators:pbl:471
5,Bridge over Tohickon Creek ,Image,Still Image,Open Seadragon,2083,7/14/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge over Tohickon Creek near Weisel's Store, Bucks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_243.jpg,1,host,MS 80 Nelson F. Davis Collection,3955773,relators:pht:472^|.|^relators:pbl:471
6,Bridge 2,Image,Still Image,Open Seadragon,2083,7/14/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Interior of Bridge 2 over Branch Creek near Perkasie, Bucks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_244.jpg,1,host,MS 80 Nelson F. Davis Collection,3955774,relators:pht:472^|.|^relators:pbl:471
7,Bridge 2,Image,Still Image,Open Seadragon,2083,7/14/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge 2 over Branch Creek near Perkasie, Bucks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_245.jpg,1,host,MS 80 Nelson F. Davis Collection,3955775,relators:pht:472^|.|^relators:pbl:471
8,Bridge over Branch Creek,Image,Still Image,Open Seadragon,2083,7/14/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Bridge in South Perkasie over Branch Creek, Bucks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_246.jpg,1,host,MS 80 Nelson F. Davis Collection,3955776,relators:pht:472^|.|^relators:pbl:471
9,O'Brien Farm Bridge 1,Image,Still Image,Open Seadragon,2083,7/14/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>O'Brien Farm Bridge 1 over Branch Creek near Perkasie, Bucks County, Pennsylvania.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_247.jpg,1,host,MS 80 Nelson F. Davis Collection,3955777,relators:pht:472^|.|^relators:pbl:471
10,Sherd's Mill Bridge,Image,Still Image,Open Seadragon,2083,7/14/37,subject:Covered bridges,"This image may be protected under copyright law and may only be used for educational, teaching, and learning purposes.  If intended use is beyond these purposes, it is the responsibility of the user to obtain the appropriate copyright permissions.","<p>Sherd's Mill Bridge over Tohickon Creek. On road from Church Hill, Richlandtown to Thatcher, Bucks County, Pennsylvania. This bridge was built in 1873.</p><p>Measurements: 8"" x 9 1/2""</p>",bridges_data/SCUA_BRIDGES_248.jpg,1,host,MS 80 Nelson F. Davis Collection,3955778,relators:pht:472^|.|^relators:pbl:471
