term_name,parent
Amish,UCHS
Animal lore,UCHS
Apple products,UCHS
Auctioneers,UCHS
Automobiles,UCHS
Bake ovens,UCHS
Baking,UCHS
Baptisms,UCHS
Barn Raising,UCHS
Basketry,UCHS
Brooms,UCHS
Bee Keeping,UCHS
Black residents,UCHS
Blacksmithing,UCHS
Bucknell University: Football,UCHS
Bucknell University: 1960s,UCHS
Buggymaking,UCHS
Burials,UCHS
Butchering,UCHS
Buttermaking,UCHS
Cabinetry,UCHS
Candles,UCHS
Candymaking,UCHS
Chair Seats,UCHS
Churches,UCHS
Crocks,UCHS
Depression Era,UCHS
Distilling,UCHS
Divining Rods,UCHS
Doctors,UCHS
Drying,UCHS
Dyes,UCHS
Faith Healing,UCHS
Farming,UCHS
Festivals,UCHS
Fiddling,UCHS
Fire Department,UCHS
Fishing,UCHS
Floods,UCHS
Flour,UCHS
Furniture Making,UCHS
Games,UCHS
Genealogy,UCHS
Gigging,UCHS
Harvesting,UCHS
Hexing,UCHS
Home Remedies,UCHS
Hunting,UCHS
Husking,UCHS
Hustling,UCHS
Ice houses,UCHS
Immigrants,UCHS
Indian Artifacts,UCHS
Iron Industry,UCHS
Knives,UCHS
Laundry,UCHS
Lumber,UCHS
Maple Syrup,UCHS
"Meals, traditional",UCHS
Mennonites,UCHS
Midwives,UCHS
Migrant Labor,UCHS
Miscellaneous,UCHS
Molly MacGuires,UCHS
Murders,UCHS
Music,UCHS
One-room schools,UCHS
Opera House,UCHS
Outbuildings,UCHS
Pennsylvania German Poems,UCHS
Pennsylvania Kentucky Rifles,UCHS
Peddlers,UCHS
Pharmacy,UCHS
Pine Tar,UCHS
Planting by the Signs,UCHS
Plants,UCHS
Pottery,UCHS
Powwow,UCHS
Quilting,UCHS
Railroads,UCHS
Recipes,UCHS
Rugs,UCHS
Sauerkraut,UCHS
Sawmills,UCHS
Soapmaking,UCHS
Social Events,UCHS
"Sioui, Dr. Thomas",UCHS
Suffragists,UCHS
Superstitions,UCHS
Tall Tales,UCHS
Tallow Candles,UCHS
Tanning,UCHS
Teas,UCHS
Threshing,UCHS
Tin Smithing,UCHS
Toll House,UCHS
Tramps,UCHS
Vietnam War,UCHS
Veterinary Practice,UCHS
Watercraft,UCHS
Weaving,UCHS
Witches,UCHS
Woolen Mills,UCHS
